Model,AUPRC,AUROC
Local Outlier Factor (k=50),0.35354780937430913,0.7135077511023207
One-Class SVM (nu=0.05),0.19461648567424208,0.6031925986753582
PCA Reconstruction,0.19208004240772264,0.5630967395105253
Isolation Forest,0.14434348289781454,0.574963308437942
Elliptic Envelope (Mahalanobis),0.13866541541430993,0.5782325793373393
KNN Distance (k=50),0.13866541541430993,0.5782325793373393
